GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mall-server,com.rabbiter.em.controller,IncomeController,15,3,0,0,3,1,3,1,3,1
mall-server,com.rabbiter.em.controller,CarouselController,96,3,4,0,18,1,8,1,6,1
mall-server,com.rabbiter.em.controller,CartController,209,3,36,0,39,1,26,1,8,1
mall-server,com.rabbiter.em.controller,GoodController,105,14,6,0,21,3,14,3,11,3
mall-server,com.rabbiter.em.controller,NoticeController,66,3,4,0,12,1,6,1,4,1
mall-server,com.rabbiter.em.controller,UserController,142,3,10,0,35,1,15,1,10,1
mall-server,com.rabbiter.em.controller,AfterSaleController,89,3,12,0,16,1,11,1,5,1
mall-server,com.rabbiter.em.controller,FileController,91,3,8,0,19,1,10,1,6,1
mall-server,com.rabbiter.em.controller,RoleController,12,3,2,0,4,1,2,1,1,1
mall-server,com.rabbiter.em.controller,IconController,54,3,0,0,11,1,6,1,6,1
mall-server,com.rabbiter.em.controller,AvatarController,62,3,2,0,15,1,5,1,4,1
mall-server,com.rabbiter.em.controller,MessageController,202,3,32,0,44,1,22,1,6,1
mall-server,com.rabbiter.em.controller,AddressController,161,3,32,0,30,1,22,1,6,1
mall-server,com.rabbiter.em.controller,OrderController,387,3,40,0,70,1,34,1,14,1
mall-server,com.rabbiter.em.controller,CategoryController,38,3,0,0,10,1,6,1,6,1
mall-server,com.rabbiter.em.controller,CommentController,35,3,2,0,8,1,4,1,3,1
mall-server,com.rabbiter.em,MallApplication,5,3,0,0,2,1,1,1,1,1
mall-server,com.rabbiter.em.config,RedisConfig,0,65,0,0,0,17,0,3,0,3
mall-server,com.rabbiter.em.config,GlobalExceptionHandler,71,7,16,0,17,2,10,2,2,2
mall-server,com.rabbiter.em.config,InterceptorConfig,0,113,0,0,0,11,0,2,0,2
mall-server,com.rabbiter.em.config,CorsConfig.new WebMvcConfigurer() {...},0,43,0,0,0,8,0,2,0,2
mall-server,com.rabbiter.em.config,SwaggerConfig,0,63,0,0,0,18,0,3,0,3
mall-server,com.rabbiter.em.config,MybatisPlusConfig,0,21,0,0,0,6,0,2,0,2
mall-server,com.rabbiter.em.config,ProcessContextAware,44,97,7,3,3,14,4,3,0,2
mall-server,com.rabbiter.em.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
mall-server,com.rabbiter.em.config,EncodingConfig,0,24,0,0,0,7,0,3,0,3
mall-server,com.rabbiter.em.service,CategoryService,39,3,0,0,10,1,2,1,2,1
mall-server,com.rabbiter.em.service,AvatarService,227,7,10,0,48,2,10,2,5,2
mall-server,com.rabbiter.em.service,CommentService,5,3,0,0,1,1,1,1,1,1
mall-server,com.rabbiter.em.service,IncomeService,186,3,8,0,40,1,7,1,3,1
mall-server,com.rabbiter.em.service,AddressService,13,3,0,0,3,1,1,1,1,1
mall-server,com.rabbiter.em.service,GoodService,649,3,46,0,115,1,39,1,16,1
mall-server,com.rabbiter.em.service,MessageService,73,3,4,0,13,1,5,1,3,1
mall-server,com.rabbiter.em.service,IconService,29,3,2,0,7,1,3,1,2,1
mall-server,com.rabbiter.em.service,StandardService,35,3,0,0,8,1,2,1,2,1
mall-server,com.rabbiter.em.service,CartService,5,3,0,0,1,1,1,1,1,1
mall-server,com.rabbiter.em.service,RecommendationService,183,33,17,1,31,8,11,4,2,4
mall-server,com.rabbiter.em.service,UserService,183,203,31,17,34,46,25,8,4,5
mall-server,com.rabbiter.em.service,AfterSaleService,263,3,32,0,56,1,20,1,4,1
mall-server,com.rabbiter.em.service,NoticeService,0,3,0,0,0,1,0,1,0,1
mall-server,com.rabbiter.em.service,OrderService,79,207,10,10,16,45,13,5,4,4
mall-server,com.rabbiter.em.service,CarouselService,4,3,0,0,1,1,1,1,1,1
mall-server,com.rabbiter.em.service,FileService,306,86,10,0,61,7,10,2,5,2
mall-server,com.rabbiter.em.service,OrderGoodsService,0,3,0,0,0,1,0,1,0,1
mall-server,com.rabbiter.em.utils,PathUtils,84,0,8,0,15,0,6,0,2,0
mall-server,com.rabbiter.em.utils,BaseApi,39,0,0,0,9,0,5,0,5,0
mall-server,com.rabbiter.em.utils,UserHolder,19,0,0,0,7,0,5,0,5,0
mall-server,com.rabbiter.em.utils,TokenUtils,50,23,4,0,17,8,5,4,3,4
mall-server,com.rabbiter.em.exception,ServiceException,3,7,0,0,1,3,1,1,1,1
mall-server,com.rabbiter.em.entity.dto,UserDTO,58,33,0,0,12,15,5,9,5,9
mall-server,com.rabbiter.em.entity.dto,GoodDTO,65,32,0,0,19,12,6,10,6,10
mall-server,com.rabbiter.em.entity,Order,116,39,0,0,30,17,13,11,13,11
mall-server,com.rabbiter.em.entity,OrderGoods,52,19,0,0,14,9,7,5,7,5
mall-server,com.rabbiter.em.entity,Comment,59,0,0,0,25,0,17,0,17,0
mall-server,com.rabbiter.em.entity,Address,75,0,0,0,23,0,12,0,12,0
mall-server,com.rabbiter.em.entity,LoginForm,36,24,0,0,9,11,2,7,2,7
mall-server,com.rabbiter.em.entity,Icon,47,0,0,0,15,0,8,0,8,0
mall-server,com.rabbiter.em.entity,MyFile,140,0,0,0,46,0,19,0,19,0
mall-server,com.rabbiter.em.entity,AuthorityType,0,34,0,0,0,4,0,1,0,1
mall-server,com.rabbiter.em.entity,Message,66,0,0,0,28,0,19,0,19,0
mall-server,com.rabbiter.em.entity,Cart,85,0,0,0,27,0,14,0,14,0
mall-server,com.rabbiter.em.entity,IconCategory,17,0,0,0,7,0,5,0,5,0
mall-server,com.rabbiter.em.entity,AfterSale,59,0,0,0,25,0,17,0,17,0
mall-server,com.rabbiter.em.entity,Avatar,90,0,0,0,30,0,13,0,13,0
mall-server,com.rabbiter.em.entity,Good,129,68,0,0,37,26,11,21,11,21
mall-server,com.rabbiter.em.entity,Carousel,73,0,0,0,23,0,12,0,12,0
mall-server,com.rabbiter.em.entity,User,67,73,0,0,11,32,1,21,1,21
mall-server,com.rabbiter.em.entity,Category,47,0,0,0,15,0,8,0,8,0
mall-server,com.rabbiter.em.entity,Standard,59,0,0,0,19,0,10,0,10,0
mall-server,com.rabbiter.em.entity,Notice,31,0,0,0,13,0,9,0,9,0
mall-server,com.rabbiter.em.entity,OrderItem,23,24,0,0,5,10,1,7,1,7
mall-server,com.rabbiter.em.constants,RedisConstants,3,7,0,0,1,2,1,1,1,1
mall-server,com.rabbiter.em.constants,Constants,22,0,0,0,3,0,2,0,2,0
mall-server,com.rabbiter.em.interceptor,AuthorityInterceptor,66,3,16,0,21,1,11,1,2,1
mall-server,com.rabbiter.em.interceptor,JwtInterceptor,129,3,20,0,32,1,12,1,2,1
mall-server,com.rabbiter.em.common,Result,46,28,0,0,15,9,9,5,9,5
